,review_cleaned_lemmatized,overall,sentiment
25928,great package good color really need let face yellow orange etc doesnt show erase board anyway great cleaner eraser really get whiteboard clean keep way mine probably last longer cleaner eraser think swipe paper towel really need good package good product,5,1
9371,pencil great would describe one word would product good resistance material time heavy lamy pencil one totally recommend,5,1
6268,hold lot paper secures well make sturdy material reasonable folder price,5,1
48623,order daughter start college fall love good size fact there cork bottom bonus love much im tempt order one definitely great item,5,1
5437,ton postit note use every day make second cube write thing stick thing thats pretty useful,5,1
5136,college student need large binder powerpoint slide binder durable hard find locally,5,1
18282,excellent value amazon fast arrival work described hp compatible easy install need quickly sent fast prime original ink cartridge hp 8000 printer good expiration date highly recommend product source advise knockoff ink cartridge ink bad luck refurbish generic ink stick hp accessory hp printer reduce frustration downtime,5,1
29770,already own hp allinone printer already high expectation even opening box hp c410 series printer needle say expectation greatly exceededslight digressionthe first thing notice open box well content organize everything packed individual bag turn box upside yank turn fetch girlfriend wife significant hold box upside pull printer effortlessly grab handle bag lift box right side bag printer come oversized reusable even wash care instruction tag there bonus already know know printer thought unique interest usable bag include printer thing stop review forprinter reviewthe printer sleek modern shiny black finish well taped avoid damage shipping accessory include packed small easy carry reusable zipper bag perfect carry computer accessory like power cord laptop accessory come computer include 5 ink cartridge setup cd ac adapter plug phone plug quick reference guide two face plate english one french sample photo paper 50 include printer come usb cable want use wireless feature require wireless router internet connection would need buy separately need one printer also slot camera flash memory card front usb port digital camera removable drivesthe actual setup printer breeze simple plug play stepbystep instruction quick reference guide well animate tutorial 24 inch color lcd screen allow set connect printer also guide insert ink cartridge set wireless network connection never read instruction screen printer guide integrate video setup wizard take 10 minute max complete calibrate still put include cd computer load driver compatible window mac set photo image fax also take roughly ten minute finally time start use printerthere amaze ingenious feature printer aside obvious task printing fax scan copying also allows utilize web apps available printer disney online tabloid weathernews websudoku current event apps allows print web without pc however order use apps course need connect router sort internet connection mention earlier order get full use printer need internet connection usb connection alone enable function task enable appsmoreover print anywhere anytime device use hp eprint alone sell point printer end set printer print page detail website visit along code enter website along printer email address also easy set access website free complete able send photo document pdf file printer try iphone blackberry laptop work computer work flawlessly advertised also able create allow sender list manage access printer set option senderswhile fax able fax color black white rather speedy consumer printerit advertises print 33 ppm black 32 ppm color sheet found little faster even printing best quality draft slightly faster oh yea also print doublesidedthe quality photo print absolutely astonish never see vivid color photo come printer obvious line smudge photo print test print picture computer camera blackberry iphone quality photo paper printer come instantdry feature moment photo print frame picture smudge another sell point swap ink cartridge print photo ink cartridge come photo black include convenientdoes sound like recommend printer print photo satisfy stringent amateur even professional photographer us usually mundane wireless feature full extent borrow versatility iphone use apps thing printing greet card printing notebook paper want printer really without jamming subpar quality product,5,1
21687,although use avery label year happy try 3m permenent adhesive address label compatible averys 5160 template may use address envelope package folder personal item 3m address label reasonably price work equally well laser inkjet printer addition quicklift design make easy peel stick beautifully finish product look great could want,5,1
10739,thought look cheap flimsy online cut insert exactly already drawer quality file cabinetyou cut short want put vice cut reciprocate saw could use much lighter duty tool well could probably use sheet metal sheers enough hand strength must something around house,5,1
2351,undamaged package product described harder plastic version dont like avery great product let,5,1
13517,many envelope know patent yes envelope nice use mine laser printer issue jamming standard envelope depend printer pull throughwhats unique small flap back lift expose sticky tape stuff close flap envelope seal tight lick water additional tape need inside print blue hash design prevent people reading letter envelope work well test seal someone try get mail try open envelope lift seal flap perforate tear little make obvious tamper try open one seal test yes tear obvious open,5,1
46205,georgia pacific make good paper ive put many 1000 sheet laser printer buy brand paper frequently alternate buying 1pack 3pack 5pack amazon depend current price im get low cost per ream,5,1
40995,love spiral bound notebook great size outer cover nice solid may need order bunch work cant find like store dont like cover soft flimsy,5,1
51592,3m tl1200b remarkably easy set simple configure desktop use base give configurable arm solid safe basis set upper right arm extend lead light switch locate base work much like classic ipod touch device turn 5 brightness also work much like ipod classic also amount touch light arm extend base move forward backwards limited degree enough give extensive range motion lead light source go proportion light visible work area samelight arm go 60 diffuse polarize light work circumstance might require less direct light need little bit light take note enough distract edit example picture video standard flatscreen respect whether shin directly video screen indirectly diffuse polarize light show computer monitor add sufficient amount whatever need direction turn thing left right light armature 90 left 90 rightif fan ottlite globe armature find directly comparable desktop ottlite light ottlite intense whereas 3m polarize light much subdue provide quite much light much still like ottlite ott long globe life tl 1200 provide much light come like see pair sunglassesif high quality tl 1200 enough win impressive fiveyear warranty give pause thought extremely good product hurry throw ottlite definitely repurpose current light 3m finelux tl 1200 definitely useful tool see long lead light last,5,1
51938,work well hold lot paper fall shift around pocket side hold paper securely fold tab top fold keep paper slide fold get mess nice color,5,1
18044,find avery label easy use every software package ive ever attempt avery label template already built label peel easily stay stuck envelope mailingi like use address size label label book daughter classroom libraryi frugal shopper come label feel averys quality justifies price would recommend avery brand label anyone,5,1
40807,purchase panasonic kxtg4745b elderly parent hooked system home first test prior set parent home use another panasonic system year kxtg6645b still available still list panasonics web site fact like old 6645b much purchase second system sister purchase model inadvertently create hand test year panasonic kxtg4745b slightly old panasonic kxtg6645b first introduce 2011 model yet still sell 2012 modelall panasonic cordless phone system near flawlessgreat voice quality near endless array feature great rangeso difference kxtg4745b new 2012 slightly old kxtg6645b first introduce 2011 yet still list 2012 modelnot much yet important difference emergethe newer model 4745b much large key definite plus everyone particularly useful elderly impaired eyesight think large key would welcome actual number key function model much large 4745bthe newer model 4745b certainly louder dedicate rocker switch built side handset adjust volume one minor complaint old 6645b adequate volume even high setting press menu key increase volume see review model newer 4745b well clearly louder volume adjustment far intuitive well easy dedicate rocker switch side handsetthe display old 6645b slightly large little bit well however text huge model display quite clear even poor eyesight display model near perfect look model side side id say prefer old model 6645b small margin would let influence purchasing decision difference minor text huge bothrange appear equal model actually walk test outside house switch model general range amaze old cordless phone stop work outside garage door panasonics work 100 foot base unit far beyond garage door amaze note get maybe 100 foot base unit might hear hiss within large home connection perfect completely absent hiss audio anomaly outside really far base unit hiss presentthe old model 6645b power base unit event power outage newer model can not would view major advantage 6645b since hour use battery deplete depend provide phone service basic phone service may work power outage even cordless phone power basic phone service may advantage likely minimal really one hard wire basic phone house cost minimal 1000 2500whatever model choose panasonics near perfect great voice quality range near perfect display ive purchase three set two giftsone final piece advice id strongly recommend purchase one handset think youll need give low cost additional handset purchasing package purchasing separate handset later date much expensive frankly id buy 5 handset even cant figure use allthe voice quality phone nothing short superb either model hiss audio anomaly except extreme range simply perfect voice quality note 4745b bit louder rocker switch side handset adjust volumecordless phone finally perfect disappointed either model panasonic phone 4745b well choice give well ergonomics louder volumeboth model use newer frequency share wireless router microwave oven old cordless phone etc either model phone never experienced hiss type problem unless extreme range within large home sound quality flawlessone last update april 2013 panasonic release literature 2013 phone 2013 model available mayjune 2013 additional feature select model keep mind cordless phone already mature love 20112012 panasonic cordless phone yet newer one offer integration cell phone via bluetooth happen need personally see major benefit 2013 except cell phone integrationfor mayjune 2013 id recommend kxtg6845b essentially phone last number relates number handset kxtg6845b 5 handset kxtg6844b 4 kxtg6843b 3 etc,5,1
42814,ability print professional look ticket great option event use small business event giveaway use microsoft office avery template print issue printing good quality think make statement business design professional style good buy opinion,5,1
31389,many office chair far one best always found slouch lean forward try get comfortable say best chair sit 6 hour day chair great lumbar support low back chair sturdy comfortable find sometimes rock chair move usually arm chair get tore first worry happeningthe arm stiff feel ok try relax easy put together wheel move easily carpet floor overall excellent chair,5,1
2976,order office go quite quickly price difference store like staple office max incredible huge saving,5,1
13970,believe previous reviewer may receive defective unit something magicjack great quality good landline close free phone come service could want phone company charge 68 monthly one love voicemail every voicemail generates email listen message computer course access phone go online forward mj number another number event power outage love family country really great talk long distance want landline quality free cant go wrong,5,1
23514,really cool product course opinion office supply freakshow let tell love itemthe tab three pleasant color pastel green pastel blue pastel yellow easy identify quickly white paper get one dozen color packagethe tab make really strong absorbent card stock attach white flexible plastic adhesive write tab adhesive part regular pen magic marker dont need sharpie second later totally dry smudge try really hard get smudge go also use pencil marking totally erase without trace case want reuse againthe application use daily todo notebook section today 100 goal long term 60 day supplement thing tab great notebook do reuse new notebookfinally come avery big well name office supply market dont like think avery refund money nothing losei excite product one rung ladder insanely organize,5,1
49229,long history use epson brand printer first experience brother brand machine overall impressed good quality printing picture document use many allinone printer different brand model definitely one lighter weight model encountereda couple feature really appreciate particular printer ink level display clearly main screen make much easy plan future ink purchase addition ink cartridge load dedicate access panel front printer much easy traditional method lift open entire unit sometimes challenge scan lid allinone model overall nice printer certainly worth price,5,1
30424,time come buy ink canon mp190 look drop yet another 3540 black color start investigate cost new printer low behold printer 59 include ink wireless feature brainerthe installation breeze toshiba window 7 pc although software say would take 15 20 minute install really like 5 found network say do ok thought easy picked laptop walk couch open shopping list file hit print sure enough printer fire spit second yes wireless printing achievedhow cool would would work iphone thought well guess app yep canon make free app let print picture iphone pull photo hit print yet printer fire print job ok cool email document etcwell take little research bonjour airprint window little tweak printing anything everything want iphoneif youd like know step leave comment add step reply,5,1
45363,good tape need secure heavy package thick reinforce meant something heavy costly dont want use package dont need lightweight stuff rip finger need something cut much else say,5,1
4855,tape great wife ton shipping due ministry tape work perfect need really tear hand effortlessly thought would line jagged edge doesnt look like regular clear pack tape scotch tape always favorite couple occasion ive picked noname brand tape could save little money end take year life aggravation cause petpeeve tape try find start spot time use cheap tape much thinner therefore almost impossible find begin scotch tape one reviewer say become tearbyhand tape evangelist wont go far really good tape adheres box well strong stuff,5,1
24275,brief review whole lot say product like similar standard expansion folder make unique much easy grip pull crowd file drawer shelf much need improvement like much similar product own recommend highly,5,1
46066,permit gush tekwriterusa gelwriter gel pen set rotate stand 100count yes say rotate stand yes say 100count reading fan art supply totally understand u picture set could almost qualify penpornographybut wait there pen write like dream smooth clog yes heard right gel pen clog array color mindbogglingmagicive heard mention set display drawback kind ha drawback delighted arrange rearrange new rainbow godlike manner dont huge collection pen stand back rule universe art supply turn planet pen slightest whimfetch sketch book command thee,5,1
51549,wish something like childhoodi baby book like best compartmentalize everything laid nicely form field packet additional material school year picture front year nice addition show progression child also like band keep book secure wish bit strong see start fray timegreat idea require discipline fill think child keepsake later year,5,1
40174,work small office limited laminate need thought would work occasional project work great big doesnt take much space really simple operate userfriendly yet give u issue several month weve itif youre look occasional home use small office could use one time month perfect overly expensive eitheran overall great product,5,1
5852,work perfect design always love scotch magic tape exception purchase,5,1
12336,order hold school drawing test project etc place family fridge worried wouldnt strong magnet order anywayhave worry surprisingly strong magnet one easily hold kindergartner oversized construction paper project refrigerator door even kindergartener old brother slam door close time time timealso kid like play strong magnetsone last indication quality someone make sure push pin color attract word two red stick repel two blue stick two yellow,5,1
15011,durable great keep worksheet organize absolutely glad purchase product look great fall apart come undone hold lot paper folder fantastic,5,1
28490,seem everytime turn around 3m find new product put good use time label stay stuck want remove simply peel like feature sometimes want temporarily put label something book dvd im go loan someone want sure ill get back remove label trace ever item cool,5,1
36225,although retire law still time time consult case need print legal document also trade market need time time print price chart stock trade record 3 different model brother ink jet printer include duplex ink jet model paper work fine 3 problem ink smudge etc recommend paper,5,1
48511,organization something u use little life large dryerase board allows keep track 4 month time although require space find lot useful one month time strategy help stay top appointment like definitely handy era easily simple enough hang,5,1
21041,bought company work work great havent see issue far actually bought 4 havent heard complaint far,5,1
6951,nice basket think stand light beating take car fold front seat flat give work surface dont worry distraction file folder slide around drive use mobile desk tray may velcro slip first drive,5,1
47017,sit computer laptop cradle raise screen eye level regular height desk also put keyboard laptop 30 degree angle front keyboard 3 table height back 5 table height suspect take time get use feel normalif sit normal table height im 58 camera top screen level eye comfortable look screen oppose always look there huge amount area behind body pc heat dissipation complete without wind blowing keyboardmy critique would terrific height adjustmentzeb kantrowitz,5,1
12159,need replace old one due drop one many time one slightly big cover expect another good 10 15 yr phone tablet yes calculator apps balance checkbook still like little casio nice value,5,1
4009,actually gift attend meeting really need present andor discussteach information group,5,1
9028,ive learn past couple year canon paper work best canon pixma printer canon photo paper glossy good example picture print medium sharp well saturate picture print several year ago still look good day printedas experiment print photo glossy glossy ii canon paper compare hard press find difference glossy ii might hair well difference small size paper one wont lose much quality choose canon paper save little money,5,1
33456,professional look binder pocket even place business card overall great quality binder feel well make sturdy expect pas binder many generation,5,1
19180,easy read display plus one directory phone make thing uncomplicated switch previous set cordless phone great charge time long life away charger mean im run different handset halfway call 60 make sense doesnt interfere wireless network slightly longer phone help hold im try one thing thing stop phone get 5 star lack jack headphone,5,1
14231,solid addition workstationafter 10 year use keyboard without wrist rest get one work computer 3 month ago one get work bit softer cover fabric thought like one one beat one gel wrist pad doesnt lose pad become indent leave wrist rest stay firm enough offer support cushy enough conform wrist little bit bottom adhesive make way seem stick desktop prevents move around desk move come one year warranty sure could go wrong something look like 3m get coveredim crazy flower youre order already know look like youre concerned way look,5,1
3827,always around house minor repair project beat easy clean,5,1
53129,set snap 10 minute run half ink jet cartridge prim system network found printer second include software instal quickly without event use wireless network printer quality outstanding one word caution however big heavy printer unit design business use,5,1
268,mount tape work well wall smooth surfacesit hold poster post card heavy paper decorationsscotch good reputable name whose product good quality reliablethis tape another fine dependable product,5,1
4375,dont usually write pen review felt inclined write review found use pen really want didnt ink bold write smooth easy little pressure need think new favorite pen,5,1
14214,always u wrist rest keyboard wrist end get sore one super cute hard softjust right stick well desk easy clean picture color true product received101410 return desk kid use computer found plasticvinyl cover several wrinkle spot can not smooth cant tell son pointy elbow pen cause dent surface longer smooth look like cover stretch surface appear bit delicate kid since desk full sort pointy sharp thing,5,1
